Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
1326,18.0,2054.72,833.77,0.058676577503198504,Muy Bajo,0
1327,12.0,1542.72,789.61,-0.11394592027353138,Muy Bajo,0
1328,2.0,19.71,0.0,-0.4546446046640258,Muy Bajo,0
1329,6.0,637.43,1190.37,-0.3002080047617899,Muy Bajo,0
1330,1.0,0.02,2600.0,-0.4269644021456515,Muy Bajo,0
1331,36.0,2230.74,607.94,0.4910593491453615,Muy Bajo,0
1332,1.0,0.02,1180.0,-0.45565121895052213,Muy Bajo,0
1333,12.0,2004.96,850.0,-0.08613104617504239,Muy Bajo,0
1334,2.0,19.73,940.0,-0.4356535893229655,Muy Bajo,0
1335,20.0,3895.44,849.15,0.21231689307289614,Muy Bajo,0
1336,13.0,17070.92,1122.44,0.8099015584430049,Muy Bajo,0
1337,11.0,1908.41,969.12,-0.11299166401640272,Muy Bajo,0
1338,22.0,2011.93,1241.0,0.15928989895472087,Muy Bajo,0
1339,30.0,2850.45,1022.18,0.3928101255697805,Muy Bajo,0
1340,17.0,2317.76,1200.0,0.057497003072662256,Muy Bajo,0
1341,24.0,8438.68,0.0,0.5514050694192858,Muy Bajo,0
1342,8.0,402.82,158.0,-0.28713797074885994,Muy Bajo,0
1343,25.0,2141.52,874.53,0.23047869566010232,Muy Bajo,0
1344,16.0,1619.52,819.16,-0.014081899776631292,Muy Bajo,0
1345,8.0,5182.09,120.0,-0.012931402276707648,Muy Bajo,0
1346,1.0,0.02,610.0,-0.46716634963980114,Muy Bajo,0
1347,1.0,0.02,1364.0,-0.45193405395608816,Muy Bajo,0
1348,35.0,5600.31,150.0,0.6519634232472515,Muy Bajo,0
1349,8.0,1213.62,867.72,-0.22615101998345014,Muy Bajo,0
1350,14.0,1030.24,900.0,-0.09377705648391033,Muy Bajo,0
1351,8.0,545.13,550.84,-0.2710140490677888,Muy Bajo,0
1352,26.0,2764.65,672.54,0.2859618391092542,Muy Bajo,0
1353,21.0,2332.13,10815.3,0.3474202922291175,Muy Bajo,0
1354,14.0,1890.24,860.69,-0.04509128641021275,Muy Bajo,0
1355,7.0,106.67,3240.0,-0.26562647714197246,Muy Bajo,0
1356,7.0,11581.55,12344.44,0.5785059573610376,Muy Bajo,0
1357,9.0,710.54,483.0,-0.23915562861319214,Muy Bajo,0
1358,61.0,11272.33,860.34,1.6091665937194024,Muy Bajo,0
1359,3.0,1538.65,5298.0,-0.23651052258277966,Muy Bajo,0
1360,16.0,2365.42,1528.24,0.04315811455371193,Muy Bajo,0
1361,26.0,517.88,150.0,0.14613807885938804,Muy Bajo,0
1362,6.0,52447.37,1110.61,2.679054139646628,Muy Bajo,2
1363,13.0,1362.33,712.34,-0.10217353114796682,Muy Bajo,0
1364,5.0,1383.67,1695.0,-0.2707908193775396,Muy Bajo,0
1365,1.0,0.02,0.0,-0.47948955967569623,Muy Bajo,0
1366,1.0,0.01,870.31,-0.4619081466196516,Muy Bajo,0
1367,28.0,1871.11,807.63,0.2847054889602284,Muy Bajo,0
1368,1.0,0.11,0.0,-0.47948438154557455,Muy Bajo,0
1369,14.0,1753.06,800.0,-0.05420996579988502,Muy Bajo,0
1370,10.0,546.2,807.63,-0.2183406290474701,Muy Bajo,0
1371,29.0,2249.32,920.67,0.33246144521903365,Muy Bajo,0
1372,5.0,808.32,920.0,-0.31954999189052735,Muy Bajo,0
1373,27.0,1766.8,833.77,0.2555200207916121,Muy Bajo,0
1374,16.0,1912.6,150.0,-0.010737966098824624,Muy Bajo,0
1375,2.0,551.6,1360.0,-0.3965677332077569,Muy Bajo,0
1376,6.0,424.47,566.0,-0.32507412386642826,Muy Bajo,0
1377,14.0,1591.2,819.16,-0.06313547514279716,Muy Bajo,0
1378,19.0,1287.9,729.41,0.03616157436620843,Muy Bajo,0
1379,32.0,1965.02,885.71,0.3865343317953205,Muy Bajo,0
1380,4.0,424.56,2000.0,-0.3435234915813318,Muy Bajo,0
1381,2.0,101.55,340.0,-0.4430672838938105,Muy Bajo,0
1382,38.0,5243.79,0.0,0.69955711187392,Muy Bajo,0
1383,14.0,1818.9,2135.0,-0.02345222774867088,Muy Bajo,0
1384,11.0,348.86,158.0,-0.21910626179888415,Muy Bajo,0
1385,49.0,3121.78,1022.18,0.8589508461925635,Muy Bajo,0
1386,13.0,2153.88,1216.58,-0.04644522848437144,Muy Bajo,0
1387,12.0,1863.5,888.0,-0.09350224065145149,Muy Bajo,0
1388,5.0,114.77,0.0,-0.3780390629281347,Muy Bajo,0
1389,35.0,2815.97,789.29,0.5046819624625798,Muy Bajo,0
1390,5.0,515.81,670.0,-0.34142998605012087,Muy Bajo,0
1391,3.0,780.3,2500.0,-0.33666717263161944,Muy Bajo,0
1392,14.0,1533.2,632.93,-0.0702347077503304,Muy Bajo,0
1393,24.0,2284.97,1212.64,0.2218504572127682,Muy Bajo,0
1394,28.0,1863.32,807.63,0.2842572930308077,Muy Bajo,0
1395,1.0,0.02,3200.0,-0.41484321194641044,Muy Bajo,0
1396,1.0,0.02,160.0,-0.47625724228923194,Muy Bajo,0
1397,23.0,4145.53,1119.12,0.30329598114742073,Muy Bajo,0
1398,11.0,1925.58,1119.12,-0.10897349430893467,Muy Bajo,0
1399,11.0,558.25,150.0,-0.20722067026622917,Muy Bajo,0
1400,7.0,438.32,937.59,-0.2930583168546489,Muy Bajo,0
1401,11.0,1254.57,1370.0,-0.14251163279081183,Muy Bajo,0
1402,2.0,19.71,1070.62,-0.4330159569121733,Muy Bajo,0
1403,2.0,19.71,150.0,-0.4516143071142155,Muy Bajo,0
1404,17.0,495.46,180.0,-0.06795464827418998,Muy Bajo,0
1405,7.0,355.51,1022.18,-0.2961138861161271,Muy Bajo,0
1406,24.0,4254.56,718.18,0.3251813099957368,Muy Bajo,0
1407,1.0,0.02,970.0,-0.45989363552025647,Muy Bajo,0
1408,3.0,553.58,379.01,-0.3925596630903968,Muy Bajo,0
1409,2.0,353.76,845.0,-0.41835443549846846,Muy Bajo,0
1410,10.0,133.78,150.0,-0.25535455317403954,Muy Bajo,0
1411,4.0,16019.71,807.37,0.5296465273851119,Muy Bajo,0
1412,2.0,1.41,150.0,-0.45266719357228996,Muy Bajo,0
1413,73.0,38438.38,1926.72,3.47824741416551,Muy Bajo,0
1414,13.0,7114.84,738.41,0.2293225268578651,Muy Bajo,0
1415,5.0,257.98,1003.72,-0.34952237216432624,Muy Bajo,0
1416,2.0,19.71,696.38,-0.44057634727911327,Muy Bajo,0
1417,19.0,8282.1,882.92,0.4416725330679777,Muy Bajo,0
1418,15.0,2018.75,920.67,-0.01277368175339217,Muy Bajo,0
1419,1.0,0.03,0.0,-0.4794889843279049,Muy Bajo,0
1420,5.0,706.07,960.0,-0.32462484370992817,Muy Bajo,0
1421,4.0,43.12,600.0,-0.3937523348641459,Muy Bajo,0
1422,10.0,1415.28,819.16,-0.1681053743297254,Muy Bajo,0
1423,3.0,1503.01,916.23,-0.32708150807651165,Muy Bajo,0
1424,1.0,0.02,3040.0,-0.41807552933287473,Muy Bajo,0
1425,35.0,5848.53,860.69,0.6806020538940024,Muy Bajo,0
1426,6.0,288.35,1143.0,-0.32124921342663293,Muy Bajo,0
1427,14.0,1697.39,849.0,-0.056423029754433474,Muy Bajo,0
1428,28.0,2278.32,1167.87,0.31541178896527805,Muy Bajo,0
